BCS_Solar,BCS_Eolica,BCA_Solar,BCA_Eolica,SIN_Solar,SIN_Eolica
{'electricity': 0.0},{'electricity': 0.215},{'electricity': 0.0},{'electricity': 0.048},{'electricity': 0.0},{'electricity': 0.0}
{'electricity': 0.0},{'electricity': 0.231},{'electricity': 0.0},{'electricity': 0.032},{'electricity': 0.0},{'electricity': 0.0}
{'electricity': 0.0},{'electricity': 0.261},{'electricity': 0.0},{'electricity': 0.022},{'electricity': 0.0},{'electricity': 0.001}
{'electricity': 0.0},{'electricity': 0.291},{'electricity': 0.0},{'electricity': 0.011},{'electricity': 0.0},{'electricity': 0.005}
{'electricity': 0.0},{'electricity': 0.315},{'electricity': 0.0},{'electricity': 0.003},{'electricity': 0.0},{'electricity': 0.015}
{'electricity': 0.0},{'electricity': 0.339},{'electricity': 0.0},{'electricity': 0.001},{'electricity': 0.0},{'electricity': 0.031}
{'electricity': 0.148},{'electricity': 0.348},{'electricity': 0.0},{'electricity': 0.0},{'electricity': 0.066},{'electricity': 0.119}
{'electricity': 0.387},{'electricity': 0.311},{'electricity': 0.173},{'electricity': 0.0},{'electricity': 0.354},{'electricity': 0.282}
{'electricity': 0.578},{'electricity': 0.446},{'electricity': 0.43},{'electricity': 0.001},{'electricity': 0.561},{'electricity': 0.433}
{'electricity': 0.702},{'electricity': 0.42},{'electricity': 0.535},{'electricity': 0.003},{'electricity': 0.693},{'electricity': 0.566}
{'electricity': 0.765},{'electricity': 0.276},{'electricity': 0.563},{'electricity': 0.001},{'electricity': 0.764},{'electricity': 0.675}
{'electricity': 0.779},{'electricity': 0.136},{'electricity': 0.62},{'electricity': 0.004},{'electricity': 0.78},{'electricity': 0.763}
{'electricity': 0.744},{'electricity': 0.073},{'electricity': 0.649},{'electricity': 0.011},{'electricity': 0.743},{'electricity': 0.829}
{'electricity': 0.656},{'electricity': 0.095},{'electricity': 0.624},{'electricity': 0.014},{'electricity': 0.651},{'electricity': 0.872}
{'electricity': 0.501},{'electricity': 0.182},{'electricity': 0.491},{'electricity': 0.02},{'electricity': 0.496},{'electricity': 0.884}
